/home/gsm0197/sralab_working/lstm_4to1/trial3/j1/lstm.py:122: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to1/trial3/j1/lstm.py:124: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  test_rmse = np.sqrt(loss_fn(y_pred, y_test))
torch.Size([403283, 50, 4]) torch.Size([403283, 50, 1])
torch.Size([198284, 50, 4]) torch.Size([198284, 50, 1])
Epoch 0: Train RMSE 0.1346, Test RMSE 0.1625
Epoch 1: Train RMSE 0.1464, Test RMSE 0.1751
Epoch 2: Train RMSE 0.1462, Test RMSE 0.1718
Epoch 3: Train RMSE 0.1479, Test RMSE 0.1725
Epoch 4: Train RMSE 0.1471, Test RMSE 0.1695
Epoch 5: Train RMSE 0.1550, Test RMSE 0.1789
Epoch 6: Train RMSE 0.1572, Test RMSE 0.1809
Epoch 7: Train RMSE 0.1481, Test RMSE 0.1732
Epoch 8: Train RMSE 0.1506, Test RMSE 0.1754
Epoch 9: Train RMSE 0.1512, Test RMSE 0.1742
Epoch 10: Train RMSE 0.1498, Test RMSE 0.1733
Epoch 11: Train RMSE 0.1499, Test RMSE 0.1727
Epoch 12: Train RMSE 0.1488, Test RMSE 0.1725
Epoch 13: Train RMSE 0.1451, Test RMSE 0.1680
Epoch 14: Train RMSE 0.1459, Test RMSE 0.1700
Epoch 15: Train RMSE 0.1463, Test RMSE 0.1704
Epoch 16: Train RMSE 0.1474, Test RMSE 0.1699
Epoch 17: Train RMSE 0.1460, Test RMSE 0.1713
Epoch 18: Train RMSE 0.1443, Test RMSE 0.1691
Epoch 19: Train RMSE 0.1460, Test RMSE 0.1712
Epoch 20: Train RMSE 0.1469, Test RMSE 0.1715
Epoch 21: Train RMSE 0.1420, Test RMSE 0.1671
Epoch 22: Train RMSE 0.1442, Test RMSE 0.1693
Epoch 23: Train RMSE 0.1417, Test RMSE 0.1677
Epoch 24: Train RMSE 0.1434, Test RMSE 0.1700
Epoch 25: Train RMSE 0.1424, Test RMSE 0.1693
Epoch 26: Train RMSE 0.1397, Test RMSE 0.1656
Epoch 27: Train RMSE 0.1408, Test RMSE 0.1672
Epoch 28: Train RMSE 0.1388, Test RMSE 0.1654
Epoch 29: Train RMSE 0.1396, Test RMSE 0.1655
Epoch 30: Train RMSE 0.1369, Test RMSE 0.1631
Epoch 31: Train RMSE 0.1424, Test RMSE 0.1688
Epoch 32: Train RMSE 0.1407, Test RMSE 0.1685
Epoch 33: Train RMSE 0.1349, Test RMSE 0.1618
Epoch 34: Train RMSE 0.1397, Test RMSE 0.1665
Epoch 35: Train RMSE 0.1396, Test RMSE 0.1664
Epoch 36: Train RMSE 0.1365, Test RMSE 0.1631
Epoch 37: Train RMSE 0.1408, Test RMSE 0.1687
Epoch 38: Train RMSE 0.1405, Test RMSE 0.1675
Epoch 39: Train RMSE 0.1377, Test RMSE 0.1661
Epoch 40: Train RMSE 0.1401, Test RMSE 0.1678
Epoch 41: Train RMSE 0.1408, Test RMSE 0.1698
Epoch 42: Train RMSE 0.1371, Test RMSE 0.1665
Epoch 43: Train RMSE 0.1388, Test RMSE 0.1683
Epoch 44: Train RMSE 0.1398, Test RMSE 0.1683
