/home/gsm0197/sralab_working/lstm_4to1/trial3/j3/lstm.py:122: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to1/trial3/j3/lstm.py:124: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  test_rmse = np.sqrt(loss_fn(y_pred, y_test))
Epoch 93: Train RMSE 0.0859, Test RMSE 0.0967
Epoch 94: Train RMSE 0.0872, Test RMSE 0.0984
Epoch 95: Train RMSE 0.0879, Test RMSE 0.0985
Epoch 96: Train RMSE 0.0860, Test RMSE 0.0972
Epoch 97: Train RMSE 0.0883, Test RMSE 0.0993
Epoch 98: Train RMSE 0.0867, Test RMSE 0.0973
Epoch 99: Train RMSE 0.0879, Test RMSE 0.0987
Epoch 100: Train RMSE 0.0884, Test RMSE 0.0998
Epoch 101: Train RMSE 0.0857, Test RMSE 0.0974
Epoch 102: Train RMSE 0.0858, Test RMSE 0.0972
Epoch 103: Train RMSE 0.0850, Test RMSE 0.0966
Epoch 104: Train RMSE 0.0853, Test RMSE 0.0964
Epoch 105: Train RMSE 0.0864, Test RMSE 0.0968
Epoch 106: Train RMSE 0.0868, Test RMSE 0.0980
Epoch 107: Train RMSE 0.0880, Test RMSE 0.0990
Epoch 108: Train RMSE 0.0871, Test RMSE 0.0982
Epoch 109: Train RMSE 0.0898, Test RMSE 0.0998
Epoch 110: Train RMSE 0.0877, Test RMSE 0.0980
Epoch 111: Train RMSE 0.0876, Test RMSE 0.0986
Epoch 112: Train RMSE 0.0849, Test RMSE 0.0960
Epoch 113: Train RMSE 0.0882, Test RMSE 0.0993
Epoch 114: Train RMSE 0.0884, Test RMSE 0.1001
Epoch 115: Train RMSE 0.0882, Test RMSE 0.0995
Epoch 116: Train RMSE 0.0878, Test RMSE 0.0987
Epoch 117: Train RMSE 0.0863, Test RMSE 0.0979
Epoch 118: Train RMSE 0.0874, Test RMSE 0.0988
Epoch 119: Train RMSE 0.0867, Test RMSE 0.0975
Epoch 120: Train RMSE 0.0900, Test RMSE 0.1004
Epoch 121: Train RMSE 0.0859, Test RMSE 0.0963
Epoch 122: Train RMSE 0.0851, Test RMSE 0.0968
Epoch 123: Train RMSE 0.0871, Test RMSE 0.0981
Epoch 124: Train RMSE 0.0851, Test RMSE 0.0963
Epoch 125: Train RMSE 0.0871, Test RMSE 0.0978
Epoch 126: Train RMSE 0.0892, Test RMSE 0.0999
Epoch 127: Train RMSE 0.0872, Test RMSE 0.0982
Epoch 128: Train RMSE 0.0877, Test RMSE 0.0983
Epoch 129: Train RMSE 0.0887, Test RMSE 0.0987
Epoch 130: Train RMSE 0.0876, Test RMSE 0.0983
Epoch 131: Train RMSE 0.0897, Test RMSE 0.1004
Epoch 132: Train RMSE 0.0867, Test RMSE 0.0979
Epoch 133: Train RMSE 0.0873, Test RMSE 0.0984
Epoch 134: Train RMSE 0.0875, Test RMSE 0.0982
