nohup: ignoring input
/home/gsm0197/sralab_working/lstm_FullData/trial5/lstm.py:184: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_FullData/trial5/lstm.py:186: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  valid_rmse = np.sqrt(loss_fn(y_pred, y_valid))
Epoch 90: Train RMSE 0.0448, Validation RMSE 0.0625
Epoch 91: Train RMSE 0.0448, Validation RMSE 0.0627
Epoch 92: Train RMSE 0.0447, Validation RMSE 0.0626
Epoch 93: Train RMSE 0.0447, Validation RMSE 0.0626
Epoch 94: Train RMSE 0.0447, Validation RMSE 0.0626
Epoch 95: Train RMSE 0.0446, Validation RMSE 0.0624
Epoch 96: Train RMSE 0.0446, Validation RMSE 0.0624
Epoch 97: Train RMSE 0.0445, Validation RMSE 0.0627
Epoch 98: Train RMSE 0.0445, Validation RMSE 0.0625
Epoch 99: Train RMSE 0.0445, Validation RMSE 0.0624
Epoch 100: Train RMSE 0.0444, Validation RMSE 0.0624
Epoch 101: Train RMSE 0.0444, Validation RMSE 0.0623
Epoch 102: Train RMSE 0.0443, Validation RMSE 0.0624
Epoch 103: Train RMSE 0.0443, Validation RMSE 0.0623
Epoch 104: Train RMSE 0.0443, Validation RMSE 0.0624
Epoch 105: Train RMSE 0.0442, Validation RMSE 0.0623
Epoch 106: Train RMSE 0.0442, Validation RMSE 0.0622
Epoch 107: Train RMSE 0.0442, Validation RMSE 0.0623
Epoch 108: Train RMSE 0.0441, Validation RMSE 0.0621
Epoch 109: Train RMSE 0.0441, Validation RMSE 0.0625
Epoch 110: Train RMSE 0.0441, Validation RMSE 0.0622
Epoch 111: Train RMSE 0.0440, Validation RMSE 0.0623
Epoch 112: Train RMSE 0.0440, Validation RMSE 0.0621
Epoch 113: Train RMSE 0.0440, Validation RMSE 0.0621
Epoch 114: Train RMSE 0.0439, Validation RMSE 0.0621
Epoch 115: Train RMSE 0.0439, Validation RMSE 0.0621
Epoch 116: Train RMSE 0.0439, Validation RMSE 0.0621
Epoch 117: Train RMSE 0.0439, Validation RMSE 0.0621
Epoch 118: Train RMSE 0.0438, Validation RMSE 0.0622
Epoch 119: Train RMSE 0.0438, Validation RMSE 0.0620
Epoch 120: Train RMSE 0.0438, Validation RMSE 0.0621
Epoch 121: Train RMSE 0.0438, Validation RMSE 0.0620
Epoch 122: Train RMSE 0.0437, Validation RMSE 0.0618
Epoch 123: Train RMSE 0.0437, Validation RMSE 0.0621
Epoch 124: Train RMSE 0.0437, Validation RMSE 0.0619
Epoch 125: Train RMSE 0.0436, Validation RMSE 0.0620
Epoch 126: Train RMSE 0.0436, Validation RMSE 0.0619
Epoch 127: Train RMSE 0.0436, Validation RMSE 0.0619
Epoch 128: Train RMSE 0.0436, Validation RMSE 0.0619
Epoch 129: Train RMSE 0.0436, Validation RMSE 0.0619
Epoch 130: Train RMSE 0.0435, Validation RMSE 0.0619
Epoch 131: Train RMSE 0.0435, Validation RMSE 0.0619
Epoch 132: Train RMSE 0.0435, Validation RMSE 0.0618
Epoch 133: Train RMSE 0.0435, Validation RMSE 0.0618
Epoch 134: Train RMSE 0.0434, Validation RMSE 0.0618
Epoch 135: Train RMSE 0.0434, Validation RMSE 0.0617
Epoch 136: Train RMSE 0.0434, Validation RMSE 0.0616
Epoch 137: Train RMSE 0.0434, Validation RMSE 0.0617
Epoch 138: Train RMSE 0.0433, Validation RMSE 0.0614
Epoch 139: Train RMSE 0.0433, Validation RMSE 0.0616
Epoch 140: Train RMSE 0.0433, Validation RMSE 0.0615
Epoch 141: Train RMSE 0.0433, Validation RMSE 0.0617
Epoch 142: Train RMSE 0.0433, Validation RMSE 0.0615
Epoch 143: Train RMSE 0.0433, Validation RMSE 0.0615
Epoch 144: Train RMSE 0.0432, Validation RMSE 0.0615
Epoch 145: Train RMSE 0.0432, Validation RMSE 0.0615
Epoch 146: Train RMSE 0.0432, Validation RMSE 0.0615
Epoch 147: Train RMSE 0.0431, Validation RMSE 0.0614
Epoch 148: Train RMSE 0.0432, Validation RMSE 0.0615
Epoch 149: Train RMSE 0.0431, Validation RMSE 0.0614
Epoch 150: Train RMSE 0.0431, Validation RMSE 0.0614
Epoch 151: Train RMSE 0.0430, Validation RMSE 0.0614
Epoch 152: Train RMSE 0.0430, Validation RMSE 0.0611
Epoch 153: Train RMSE 0.0430, Validation RMSE 0.0613
Epoch 154: Train RMSE 0.0430, Validation RMSE 0.0613
Epoch 155: Train RMSE 0.0430, Validation RMSE 0.0613
Epoch 156: Train RMSE 0.0430, Validation RMSE 0.0614
Epoch 157: Train RMSE 0.0430, Validation RMSE 0.0611
Epoch 158: Train RMSE 0.0429, Validation RMSE 0.0613
Epoch 159: Train RMSE 0.0429, Validation RMSE 0.0613
Epoch 160: Train RMSE 0.0429, Validation RMSE 0.0611
Epoch 161: Train RMSE 0.0428, Validation RMSE 0.0612
Epoch 162: Train RMSE 0.0428, Validation RMSE 0.0612
Epoch 163: Train RMSE 0.0428, Validation RMSE 0.0612
Epoch 164: Train RMSE 0.0428, Validation RMSE 0.0610
Epoch 165: Train RMSE 0.0428, Validation RMSE 0.0610
Epoch 166: Train RMSE 0.0428, Validation RMSE 0.0612
Epoch 167: Train RMSE 0.0428, Validation RMSE 0.0610
Epoch 168: Train RMSE 0.0427, Validation RMSE 0.0613
Epoch 169: Train RMSE 0.0427, Validation RMSE 0.0609
Epoch 170: Train RMSE 0.0427, Validation RMSE 0.0610
Epoch 171: Train RMSE 0.0427, Validation RMSE 0.0609
Epoch 172: Train RMSE 0.0426, Validation RMSE 0.0611
Epoch 173: Train RMSE 0.0426, Validation RMSE 0.0609
Epoch 174: Train RMSE 0.0426, Validation RMSE 0.0610
Epoch 175: Train RMSE 0.0426, Validation RMSE 0.0610
Epoch 176: Train RMSE 0.0426, Validation RMSE 0.0610
Epoch 177: Train RMSE 0.0426, Validation RMSE 0.0610
Epoch 178: Train RMSE 0.0426, Validation RMSE 0.0610
Epoch 179: Train RMSE 0.0425, Validation RMSE 0.0609
Epoch 180: Train RMSE 0.0425, Validation RMSE 0.0610
Epoch 181: Train RMSE 0.0425, Validation RMSE 0.0609
Epoch 182: Train RMSE 0.0425, Validation RMSE 0.0608
Epoch 183: Train RMSE 0.0425, Validation RMSE 0.0607
Epoch 184: Train RMSE 0.0424, Validation RMSE 0.0609
Epoch 185: Train RMSE 0.0424, Validation RMSE 0.0608
Epoch 186: Train RMSE 0.0424, Validation RMSE 0.0609
Epoch 187: Train RMSE 0.0424, Validation RMSE 0.0608
Epoch 188: Train RMSE 0.0424, Validation RMSE 0.0607
Epoch 189: Train RMSE 0.0424, Validation RMSE 0.0608
Epoch 190: Train RMSE 0.0423, Validation RMSE 0.0608
Epoch 191: Train RMSE 0.0423, Validation RMSE 0.0608
Epoch 192: Train RMSE 0.0423, Validation RMSE 0.0607
Epoch 193: Train RMSE 0.0423, Validation RMSE 0.0608
Epoch 194: Train RMSE 0.0423, Validation RMSE 0.0606
Epoch 195: Train RMSE 0.0423, Validation RMSE 0.0606
Epoch 196: Train RMSE 0.0423, Validation RMSE 0.0607
Epoch 197: Train RMSE 0.0422, Validation RMSE 0.0606
Epoch 198: Train RMSE 0.0422, Validation RMSE 0.0605
Epoch 199: Train RMSE 0.0422, Validation RMSE 0.0606
