/home/gsm0197/sralab_working/lstm_4to1/trial3/j4/lstm.py:122: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to1/trial3/j4/lstm.py:124: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  test_rmse = np.sqrt(loss_fn(y_pred, y_test))
torch.Size([403283, 50, 4]) torch.Size([403283, 50, 1])
torch.Size([198284, 50, 4]) torch.Size([198284, 50, 1])
Epoch 0: Train RMSE 0.1533, Test RMSE 0.1984
Epoch 1: Train RMSE 0.1596, Test RMSE 0.2014
Epoch 2: Train RMSE 0.1659, Test RMSE 0.2095
Epoch 3: Train RMSE 0.1679, Test RMSE 0.2088
Epoch 4: Train RMSE 0.1737, Test RMSE 0.2182
Epoch 5: Train RMSE 0.1663, Test RMSE 0.2107
Epoch 6: Train RMSE 0.1746, Test RMSE 0.2191
Epoch 7: Train RMSE 0.1741, Test RMSE 0.2179
Epoch 8: Train RMSE 0.1797, Test RMSE 0.2201
Epoch 9: Train RMSE 0.1814, Test RMSE 0.2234
Epoch 10: Train RMSE 0.1817, Test RMSE 0.2228
Epoch 11: Train RMSE 0.1808, Test RMSE 0.2209
Epoch 12: Train RMSE 0.1786, Test RMSE 0.2200
Epoch 13: Train RMSE 0.1855, Test RMSE 0.2236
Epoch 14: Train RMSE 0.1800, Test RMSE 0.2208
Epoch 15: Train RMSE 0.1826, Test RMSE 0.2213
Epoch 16: Train RMSE 0.1890, Test RMSE 0.2283
Epoch 17: Train RMSE 0.1920, Test RMSE 0.2324
Epoch 18: Train RMSE 0.1809, Test RMSE 0.2217
Epoch 19: Train RMSE 0.1895, Test RMSE 0.2308
Epoch 20: Train RMSE 0.1848, Test RMSE 0.2237
Epoch 21: Train RMSE 0.1870, Test RMSE 0.2280
Epoch 22: Train RMSE 0.1835, Test RMSE 0.2259
Epoch 23: Train RMSE 0.1894, Test RMSE 0.2316
Epoch 24: Train RMSE 0.1873, Test RMSE 0.2277
Epoch 25: Train RMSE 0.1855, Test RMSE 0.2242
Epoch 26: Train RMSE 0.1809, Test RMSE 0.2213
Epoch 27: Train RMSE 0.1872, Test RMSE 0.2280
Epoch 28: Train RMSE 0.1922, Test RMSE 0.2346
Epoch 29: Train RMSE 0.1900, Test RMSE 0.2321
Epoch 30: Train RMSE 0.1915, Test RMSE 0.2346
Epoch 31: Train RMSE 0.1916, Test RMSE 0.2333
Epoch 32: Train RMSE 0.1933, Test RMSE 0.2338
Epoch 33: Train RMSE 0.1941, Test RMSE 0.2349
Epoch 34: Train RMSE 0.1911, Test RMSE 0.2339
Epoch 35: Train RMSE 0.1912, Test RMSE 0.2319
Epoch 36: Train RMSE 0.1910, Test RMSE 0.2330
Epoch 37: Train RMSE 0.1935, Test RMSE 0.2331
Epoch 38: Train RMSE 0.1944, Test RMSE 0.2360
Epoch 39: Train RMSE 0.1929, Test RMSE 0.2357
Epoch 40: Train RMSE 0.1943, Test RMSE 0.2361
Epoch 41: Train RMSE 0.1929, Test RMSE 0.2357
Epoch 42: Train RMSE 0.1941, Test RMSE 0.2350
Epoch 43: Train RMSE 0.1932, Test RMSE 0.2346
Epoch 44: Train RMSE 0.1971, Test RMSE 0.2377
Epoch 45: Train RMSE 0.2006, Test RMSE 0.2419
Epoch 46: Train RMSE 0.1984, Test RMSE 0.2390
Epoch 47: Train RMSE 0.1978, Test RMSE 0.2391
Epoch 48: Train RMSE 0.1930, Test RMSE 0.2331
Epoch 49: Train RMSE 0.1938, Test RMSE 0.2357
Epoch 50: Train RMSE 0.1973, Test RMSE 0.2377
Epoch 51: Train RMSE 0.1977, Test RMSE 0.2393
Epoch 52: Train RMSE 0.2020, Test RMSE 0.2432
Epoch 53: Train RMSE 0.1949, Test RMSE 0.2358
Epoch 54: Train RMSE 0.1995, Test RMSE 0.2423
Epoch 55: Train RMSE 0.2004, Test RMSE 0.2409
Epoch 56: Train RMSE 0.1994, Test RMSE 0.2432
Epoch 57: Train RMSE 0.1951, Test RMSE 0.2350
Epoch 58: Train RMSE 0.1966, Test RMSE 0.2379
Epoch 59: Train RMSE 0.1973, Test RMSE 0.2406
Epoch 60: Train RMSE 0.1961, Test RMSE 0.2382
Epoch 61: Train RMSE 0.1939, Test RMSE 0.2364
Epoch 62: Train RMSE 0.1979, Test RMSE 0.2404
Epoch 63: Train RMSE 0.1967, Test RMSE 0.2382
Epoch 64: Train RMSE 0.1942, Test RMSE 0.2351
Epoch 65: Train RMSE 0.1998, Test RMSE 0.2424
Epoch 66: Train RMSE 0.1987, Test RMSE 0.2405
Epoch 67: Train RMSE 0.1991, Test RMSE 0.2420
Epoch 68: Train RMSE 0.1992, Test RMSE 0.2432
Epoch 69: Train RMSE 0.1967, Test RMSE 0.2381
Epoch 70: Train RMSE 0.1968, Test RMSE 0.2391
Epoch 71: Train RMSE 0.2042, Test RMSE 0.2454
Epoch 72: Train RMSE 0.1983, Test RMSE 0.2415
Epoch 73: Train RMSE 0.1967, Test RMSE 0.2385
Epoch 74: Train RMSE 0.1945, Test RMSE 0.2361
Epoch 75: Train RMSE 0.1961, Test RMSE 0.2394
Epoch 76: Train RMSE 0.2000, Test RMSE 0.2418
Epoch 77: Train RMSE 0.1970, Test RMSE 0.2401
Epoch 78: Train RMSE 0.2011, Test RMSE 0.2435
Epoch 79: Train RMSE 0.1998, Test RMSE 0.2422
Epoch 80: Train RMSE 0.2007, Test RMSE 0.2423
Epoch 81: Train RMSE 0.1973, Test RMSE 0.2387
Epoch 82: Train RMSE 0.1998, Test RMSE 0.2436
Epoch 83: Train RMSE 0.1983, Test RMSE 0.2405
Epoch 84: Train RMSE 0.1978, Test RMSE 0.2386
Epoch 85: Train RMSE 0.1980, Test RMSE 0.2412
Epoch 86: Train RMSE 0.2000, Test RMSE 0.2417
Epoch 87: Train RMSE 0.1994, Test RMSE 0.2431
Epoch 88: Train RMSE 0.1983, Test RMSE 0.2421
Epoch 89: Train RMSE 0.2014, Test RMSE 0.2439
Epoch 90: Train RMSE 0.1986, Test RMSE 0.2396
Epoch 91: Train RMSE 0.1983, Test RMSE 0.2412
Epoch 92: Train RMSE 0.1999, Test RMSE 0.2428
Epoch 93: Train RMSE 0.1955, Test RMSE 0.2391
Epoch 94: Train RMSE 0.2021, Test RMSE 0.2446
Epoch 95: Train RMSE 0.1947, Test RMSE 0.2359
Epoch 96: Train RMSE 0.2014, Test RMSE 0.2445
Epoch 97: Train RMSE 0.2008, Test RMSE 0.2445
Epoch 98: Train RMSE 0.2015, Test RMSE 0.2445
Epoch 99: Train RMSE 0.1985, Test RMSE 0.2414
Epoch 100: Train RMSE 0.1989, Test RMSE 0.2415
Epoch 101: Train RMSE 0.2021, Test RMSE 0.2432
Epoch 102: Train RMSE 0.1995, Test RMSE 0.2432
Epoch 103: Train RMSE 0.1973, Test RMSE 0.2410
Epoch 104: Train RMSE 0.1981, Test RMSE 0.2414
Epoch 105: Train RMSE 0.2022, Test RMSE 0.2443
Epoch 106: Train RMSE 0.2023, Test RMSE 0.2453
Epoch 107: Train RMSE 0.2003, Test RMSE 0.2433
Epoch 108: Train RMSE 0.2000, Test RMSE 0.2442
Epoch 109: Train RMSE 0.2011, Test RMSE 0.2447
Epoch 110: Train RMSE 0.2006, Test RMSE 0.2441
Epoch 111: Train RMSE 0.2009, Test RMSE 0.2443
Epoch 112: Train RMSE 0.2023, Test RMSE 0.2465
Epoch 113: Train RMSE 0.2008, Test RMSE 0.2433
Epoch 114: Train RMSE 0.2016, Test RMSE 0.2432
Epoch 115: Train RMSE 0.2013, Test RMSE 0.2439
Epoch 116: Train RMSE 0.1987, Test RMSE 0.2427
Epoch 117: Train RMSE 0.2003, Test RMSE 0.2399
Epoch 118: Train RMSE 0.2032, Test RMSE 0.2456
Epoch 119: Train RMSE 0.2022, Test RMSE 0.2441
Epoch 120: Train RMSE 0.2023, Test RMSE 0.2461
Epoch 121: Train RMSE 0.2021, Test RMSE 0.2437
Epoch 122: Train RMSE 0.2013, Test RMSE 0.2450
Epoch 123: Train RMSE 0.2018, Test RMSE 0.2449
Epoch 124: Train RMSE 0.2008, Test RMSE 0.2423
Epoch 125: Train RMSE 0.2011, Test RMSE 0.2438
Epoch 126: Train RMSE 0.2009, Test RMSE 0.2425
Epoch 127: Train RMSE 0.2050, Test RMSE 0.2479
Epoch 128: Train RMSE 0.2017, Test RMSE 0.2441
Epoch 129: Train RMSE 0.2067, Test RMSE 0.2489
Epoch 130: Train RMSE 0.2051, Test RMSE 0.2475
Epoch 131: Train RMSE 0.2028, Test RMSE 0.2458
Epoch 132: Train RMSE 0.2054, Test RMSE 0.2472
Epoch 133: Train RMSE 0.2037, Test RMSE 0.2468
Epoch 134: Train RMSE 0.2023, Test RMSE 0.2460
Epoch 135: Train RMSE 0.2024, Test RMSE 0.2450
Epoch 136: Train RMSE 0.2018, Test RMSE 0.2437
Epoch 137: Train RMSE 0.2003, Test RMSE 0.2417
Epoch 138: Train RMSE 0.2048, Test RMSE 0.2486
Epoch 139: Train RMSE 0.2033, Test RMSE 0.2458
Epoch 140: Train RMSE 0.2056, Test RMSE 0.2464
Epoch 141: Train RMSE 0.2018, Test RMSE 0.2441
Epoch 142: Train RMSE 0.2061, Test RMSE 0.2502
Epoch 143: Train RMSE 0.2036, Test RMSE 0.2450
Epoch 144: Train RMSE 0.2029, Test RMSE 0.2463
Epoch 145: Train RMSE 0.2012, Test RMSE 0.2443
Epoch 146: Train RMSE 0.2054, Test RMSE 0.2491
Epoch 147: Train RMSE 0.2070, Test RMSE 0.2482
Epoch 148: Train RMSE 0.2028, Test RMSE 0.2462
Epoch 149: Train RMSE 0.2050, Test RMSE 0.2472
Epoch 150: Train RMSE 0.2029, Test RMSE 0.2465
Epoch 151: Train RMSE 0.2052, Test RMSE 0.2480
Epoch 152: Train RMSE 0.2021, Test RMSE 0.2449
Epoch 153: Train RMSE 0.2068, Test RMSE 0.2501
Epoch 154: Train RMSE 0.2004, Test RMSE 0.2429
Epoch 155: Train RMSE 0.2037, Test RMSE 0.2470
Epoch 156: Train RMSE 0.2025, Test RMSE 0.2450
Epoch 157: Train RMSE 0.2051, Test RMSE 0.2478
Epoch 158: Train RMSE 0.2034, Test RMSE 0.2460
Epoch 159: Train RMSE 0.2059, Test RMSE 0.2488
Epoch 160: Train RMSE 0.2052, Test RMSE 0.2477
Epoch 161: Train RMSE 0.2063, Test RMSE 0.2505
Epoch 162: Train RMSE 0.2062, Test RMSE 0.2489
Epoch 163: Train RMSE 0.2067, Test RMSE 0.2490
Epoch 164: Train RMSE 0.2055, Test RMSE 0.2485
Epoch 165: Train RMSE 0.2073, Test RMSE 0.2499
Epoch 166: Train RMSE 0.2035, Test RMSE 0.2455
Epoch 167: Train RMSE 0.2052, Test RMSE 0.2484
Epoch 168: Train RMSE 0.2009, Test RMSE 0.2435
Epoch 169: Train RMSE 0.2055, Test RMSE 0.2476
