/home/gsm0197/sralab_working/lstm_4to1/trial3/j2/lstm.py:122: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to1/trial3/j2/lstm.py:124: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  test_rmse = np.sqrt(loss_fn(y_pred, y_test))
torch.Size([403283, 50, 4]) torch.Size([403283, 50, 1])
torch.Size([198284, 50, 4]) torch.Size([198284, 50, 1])
Epoch 0: Train RMSE 0.1675, Test RMSE 0.1635
Epoch 1: Train RMSE 0.1860, Test RMSE 0.1828
Epoch 2: Train RMSE 0.2062, Test RMSE 0.2029
Epoch 3: Train RMSE 0.2072, Test RMSE 0.2047
Epoch 4: Train RMSE 0.2260, Test RMSE 0.2230
Epoch 5: Train RMSE 0.2221, Test RMSE 0.2190
Epoch 6: Train RMSE 0.2334, Test RMSE 0.2301
Epoch 7: Train RMSE 0.2297, Test RMSE 0.2255
Epoch 8: Train RMSE 0.2415, Test RMSE 0.2372
Epoch 9: Train RMSE 0.2346, Test RMSE 0.2305
Epoch 10: Train RMSE 0.2419, Test RMSE 0.2387
Epoch 11: Train RMSE 0.2359, Test RMSE 0.2309
Epoch 12: Train RMSE 0.2393, Test RMSE 0.2351
Epoch 13: Train RMSE 0.2367, Test RMSE 0.2322
Epoch 14: Train RMSE 0.2427, Test RMSE 0.2387
Epoch 15: Train RMSE 0.2348, Test RMSE 0.2303
Epoch 16: Train RMSE 0.2394, Test RMSE 0.2346
Epoch 17: Train RMSE 0.2455, Test RMSE 0.2418
Epoch 18: Train RMSE 0.2436, Test RMSE 0.2393
Epoch 19: Train RMSE 0.2421, Test RMSE 0.2377
Epoch 20: Train RMSE 0.2431, Test RMSE 0.2385
Epoch 21: Train RMSE 0.2437, Test RMSE 0.2407
Epoch 22: Train RMSE 0.2451, Test RMSE 0.2424
Epoch 23: Train RMSE 0.2430, Test RMSE 0.2390
Epoch 24: Train RMSE 0.2460, Test RMSE 0.2440
Epoch 25: Train RMSE 0.2456, Test RMSE 0.2418
Epoch 26: Train RMSE 0.2448, Test RMSE 0.2411
Epoch 27: Train RMSE 0.2440, Test RMSE 0.2420
Epoch 28: Train RMSE 0.2500, Test RMSE 0.2459
Epoch 29: Train RMSE 0.2469, Test RMSE 0.2436
Epoch 30: Train RMSE 0.2498, Test RMSE 0.2466
Epoch 31: Train RMSE 0.2488, Test RMSE 0.2465
Epoch 32: Train RMSE 0.2516, Test RMSE 0.2486
Epoch 33: Train RMSE 0.2434, Test RMSE 0.2409
Epoch 34: Train RMSE 0.2517, Test RMSE 0.2485
Epoch 35: Train RMSE 0.2518, Test RMSE 0.2475
Epoch 36: Train RMSE 0.2509, Test RMSE 0.2460
Epoch 37: Train RMSE 0.2524, Test RMSE 0.2498
Epoch 38: Train RMSE 0.2573, Test RMSE 0.2543
Epoch 39: Train RMSE 0.2524, Test RMSE 0.2491
Epoch 40: Train RMSE 0.2509, Test RMSE 0.2491
Epoch 41: Train RMSE 0.2552, Test RMSE 0.2524
Epoch 42: Train RMSE 0.2564, Test RMSE 0.2540
Epoch 43: Train RMSE 0.2539, Test RMSE 0.2508
Epoch 44: Train RMSE 0.2529, Test RMSE 0.2513
Epoch 45: Train RMSE 0.2534, Test RMSE 0.2526
Epoch 46: Train RMSE 0.2523, Test RMSE 0.2499
Epoch 47: Train RMSE 0.2556, Test RMSE 0.2508
Epoch 48: Train RMSE 0.2583, Test RMSE 0.2548
Epoch 49: Train RMSE 0.2543, Test RMSE 0.2521
Epoch 50: Train RMSE 0.2520, Test RMSE 0.2511
Epoch 51: Train RMSE 0.2535, Test RMSE 0.2494
Epoch 52: Train RMSE 0.2549, Test RMSE 0.2519
Epoch 53: Train RMSE 0.2562, Test RMSE 0.2540
Epoch 54: Train RMSE 0.2564, Test RMSE 0.2538
Epoch 55: Train RMSE 0.2562, Test RMSE 0.2523
Epoch 56: Train RMSE 0.2581, Test RMSE 0.2550
Epoch 57: Train RMSE 0.2564, Test RMSE 0.2536
Epoch 58: Train RMSE 0.2539, Test RMSE 0.2507
Epoch 59: Train RMSE 0.2583, Test RMSE 0.2543
Epoch 60: Train RMSE 0.2594, Test RMSE 0.2556
Epoch 61: Train RMSE 0.2609, Test RMSE 0.2575
Epoch 62: Train RMSE 0.2585, Test RMSE 0.2540
Epoch 63: Train RMSE 0.2572, Test RMSE 0.2532
Epoch 64: Train RMSE 0.2577, Test RMSE 0.2536
Epoch 65: Train RMSE 0.2529, Test RMSE 0.2487
Epoch 66: Train RMSE 0.2567, Test RMSE 0.2526
Epoch 67: Train RMSE 0.2579, Test RMSE 0.2543
Epoch 68: Train RMSE 0.2580, Test RMSE 0.2531
Epoch 69: Train RMSE 0.2593, Test RMSE 0.2572
Epoch 70: Train RMSE 0.2571, Test RMSE 0.2524
Epoch 71: Train RMSE 0.2611, Test RMSE 0.2581
Epoch 72: Train RMSE 0.2582, Test RMSE 0.2527
Epoch 73: Train RMSE 0.2592, Test RMSE 0.2542
Epoch 74: Train RMSE 0.2580, Test RMSE 0.2537
Epoch 75: Train RMSE 0.2627, Test RMSE 0.2584
Epoch 76: Train RMSE 0.2585, Test RMSE 0.2548
Epoch 77: Train RMSE 0.2612, Test RMSE 0.2561
Epoch 78: Train RMSE 0.2593, Test RMSE 0.2552
Epoch 79: Train RMSE 0.2614, Test RMSE 0.2569
Epoch 80: Train RMSE 0.2604, Test RMSE 0.2547
Epoch 81: Train RMSE 0.2585, Test RMSE 0.2540
Epoch 82: Train RMSE 0.2628, Test RMSE 0.2594
Epoch 83: Train RMSE 0.2614, Test RMSE 0.2573
Epoch 84: Train RMSE 0.2596, Test RMSE 0.2553
Epoch 85: Train RMSE 0.2597, Test RMSE 0.2550
Epoch 86: Train RMSE 0.2617, Test RMSE 0.2570
Epoch 87: Train RMSE 0.2634, Test RMSE 0.2585
Epoch 88: Train RMSE 0.2612, Test RMSE 0.2558
Epoch 89: Train RMSE 0.2628, Test RMSE 0.2589
Epoch 90: Train RMSE 0.2598, Test RMSE 0.2542
Epoch 91: Train RMSE 0.2617, Test RMSE 0.2563
Epoch 92: Train RMSE 0.2605, Test RMSE 0.2553
Epoch 93: Train RMSE 0.2597, Test RMSE 0.2548
Epoch 94: Train RMSE 0.2629, Test RMSE 0.2579
Epoch 95: Train RMSE 0.2614, Test RMSE 0.2567
Epoch 96: Train RMSE 0.2607, Test RMSE 0.2558
Epoch 97: Train RMSE 0.2634, Test RMSE 0.2575
Epoch 98: Train RMSE 0.2636, Test RMSE 0.2591
Epoch 99: Train RMSE 0.2642, Test RMSE 0.2573
Epoch 100: Train RMSE 0.2630, Test RMSE 0.2574
Epoch 101: Train RMSE 0.2612, Test RMSE 0.2554
Epoch 102: Train RMSE 0.2623, Test RMSE 0.2571
Epoch 103: Train RMSE 0.2647, Test RMSE 0.2592
Epoch 104: Train RMSE 0.2647, Test RMSE 0.2591
Epoch 105: Train RMSE 0.2650, Test RMSE 0.2591
Epoch 106: Train RMSE 0.2647, Test RMSE 0.2596
Epoch 107: Train RMSE 0.2613, Test RMSE 0.2544
Epoch 108: Train RMSE 0.2634, Test RMSE 0.2586
Epoch 109: Train RMSE 0.2642, Test RMSE 0.2591
Epoch 110: Train RMSE 0.2637, Test RMSE 0.2581
Epoch 111: Train RMSE 0.2647, Test RMSE 0.2590
Epoch 112: Train RMSE 0.2648, Test RMSE 0.2595
Epoch 113: Train RMSE 0.2647, Test RMSE 0.2592
Epoch 114: Train RMSE 0.2631, Test RMSE 0.2565
Epoch 115: Train RMSE 0.2647, Test RMSE 0.2586
Epoch 116: Train RMSE 0.2664, Test RMSE 0.2605
Epoch 117: Train RMSE 0.2665, Test RMSE 0.2612
Epoch 118: Train RMSE 0.2649, Test RMSE 0.2591
Epoch 119: Train RMSE 0.2667, Test RMSE 0.2613
Epoch 120: Train RMSE 0.2636, Test RMSE 0.2582
Epoch 121: Train RMSE 0.2633, Test RMSE 0.2576
Epoch 122: Train RMSE 0.2637, Test RMSE 0.2576
Epoch 123: Train RMSE 0.2677, Test RMSE 0.2615
Epoch 124: Train RMSE 0.2666, Test RMSE 0.2616
Epoch 125: Train RMSE 0.2663, Test RMSE 0.2608
Epoch 126: Train RMSE 0.2658, Test RMSE 0.2600
Epoch 127: Train RMSE 0.2660, Test RMSE 0.2602
Epoch 128: Train RMSE 0.2665, Test RMSE 0.2614
Epoch 129: Train RMSE 0.2659, Test RMSE 0.2593
Epoch 130: Train RMSE 0.2647, Test RMSE 0.2591
Epoch 131: Train RMSE 0.2671, Test RMSE 0.2616
Epoch 132: Train RMSE 0.2630, Test RMSE 0.2579
Epoch 133: Train RMSE 0.2690, Test RMSE 0.2639
Epoch 134: Train RMSE 0.2681, Test RMSE 0.2620
Epoch 135: Train RMSE 0.2711, Test RMSE 0.2658
Epoch 136: Train RMSE 0.2661, Test RMSE 0.2612
Epoch 137: Train RMSE 0.2683, Test RMSE 0.2629
Epoch 138: Train RMSE 0.2662, Test RMSE 0.2608
Epoch 139: Train RMSE 0.2685, Test RMSE 0.2623
Epoch 140: Train RMSE 0.2670, Test RMSE 0.2605
Epoch 141: Train RMSE 0.2689, Test RMSE 0.2633
Epoch 142: Train RMSE 0.2683, Test RMSE 0.2624
Epoch 143: Train RMSE 0.2703, Test RMSE 0.2646
Epoch 144: Train RMSE 0.2669, Test RMSE 0.2619
Epoch 145: Train RMSE 0.2746, Test RMSE 0.2678
Epoch 146: Train RMSE 0.2720, Test RMSE 0.2661
Epoch 147: Train RMSE 0.2681, Test RMSE 0.2624
Epoch 148: Train RMSE 0.2713, Test RMSE 0.2658
Epoch 149: Train RMSE 0.2701, Test RMSE 0.2645
