nohup: ignoring input
torch.Size([403283, 50, 4]) torch.Size([403283, 50, 4])
Epoch 100: Train RMSE 0.0385, Test RMSE 0.0650
Epoch 101: Train RMSE 0.0371, Test RMSE 0.0656
Epoch 102: Train RMSE 0.0372, Test RMSE 0.0657
Epoch 103: Train RMSE 0.0371, Test RMSE 0.0653
Epoch 104: Train RMSE 0.0371, Test RMSE 0.0661
Epoch 105: Train RMSE 0.0376, Test RMSE 0.0662
Epoch 106: Train RMSE 0.0374, Test RMSE 0.0670
Epoch 107: Train RMSE 0.0370, Test RMSE 0.0658
Epoch 108: Train RMSE 0.0371, Test RMSE 0.0671
Epoch 109: Train RMSE 0.0375, Test RMSE 0.0649
Epoch 110: Train RMSE 0.0374, Test RMSE 0.0653
Epoch 111: Train RMSE 0.0370, Test RMSE 0.0662
Epoch 112: Train RMSE 0.0370, Test RMSE 0.0649
Epoch 113: Train RMSE 0.0369, Test RMSE 0.0658
Epoch 114: Train RMSE 0.0374, Test RMSE 0.0657
Epoch 115: Train RMSE 0.0369, Test RMSE 0.0645
Epoch 116: Train RMSE 0.0371, Test RMSE 0.0652
Epoch 117: Train RMSE 0.0375, Test RMSE 0.0660
Epoch 118: Train RMSE 0.0372, Test RMSE 0.0657
Epoch 119: Train RMSE 0.0371, Test RMSE 0.0648
Epoch 120: Train RMSE 0.0372, Test RMSE 0.0655
Epoch 121: Train RMSE 0.0370, Test RMSE 0.0655
Epoch 122: Train RMSE 0.0370, Test RMSE 0.0657
Epoch 123: Train RMSE 0.0368, Test RMSE 0.0663
Epoch 124: Train RMSE 0.0367, Test RMSE 0.0662
Epoch 125: Train RMSE 0.0367, Test RMSE 0.0653
Epoch 126: Train RMSE 0.0365, Test RMSE 0.0657
Epoch 127: Train RMSE 0.0369, Test RMSE 0.0661
Epoch 128: Train RMSE 0.0371, Test RMSE 0.0664
Epoch 129: Train RMSE 0.0368, Test RMSE 0.0649
Epoch 130: Train RMSE 0.0369, Test RMSE 0.0675
Epoch 131: Train RMSE 0.0366, Test RMSE 0.0665
Epoch 132: Train RMSE 0.0365, Test RMSE 0.0650
Epoch 133: Train RMSE 0.0366, Test RMSE 0.0653
Epoch 134: Train RMSE 0.0366, Test RMSE 0.0652
Epoch 135: Train RMSE 0.0365, Test RMSE 0.0656
Epoch 136: Train RMSE 0.0365, Test RMSE 0.0666
Epoch 137: Train RMSE 0.0368, Test RMSE 0.0660
Epoch 138: Train RMSE 0.0365, Test RMSE 0.0667
Epoch 139: Train RMSE 0.0367, Test RMSE 0.0657
Epoch 140: Train RMSE 0.0368, Test RMSE 0.0666
Epoch 141: Train RMSE 0.0367, Test RMSE 0.0667
Epoch 142: Train RMSE 0.0368, Test RMSE 0.0661
Epoch 143: Train RMSE 0.0366, Test RMSE 0.0660
Epoch 144: Train RMSE 0.0365, Test RMSE 0.0649
Epoch 145: Train RMSE 0.0363, Test RMSE 0.0668
Epoch 146: Train RMSE 0.0367, Test RMSE 0.0649
Epoch 147: Train RMSE 0.0365, Test RMSE 0.0650
Epoch 148: Train RMSE 0.0364, Test RMSE 0.0662
Epoch 149: Train RMSE 0.0365, Test RMSE 0.0672
Epoch 150: Train RMSE 0.0363, Test RMSE 0.0663
Epoch 151: Train RMSE 0.0364, Test RMSE 0.0663
Epoch 152: Train RMSE 0.0364, Test RMSE 0.0671
Epoch 153: Train RMSE 0.0369, Test RMSE 0.0653
Epoch 154: Train RMSE 0.0367, Test RMSE 0.0666
Epoch 155: Train RMSE 0.0363, Test RMSE 0.0672
Epoch 156: Train RMSE 0.0361, Test RMSE 0.0660
Epoch 157: Train RMSE 0.0366, Test RMSE 0.0656
