/home/gsm0197/sralab_working/lstm_4to1/trial2/j1/lstm.py:120: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to1/trial2/j1/lstm.py:122: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  test_rmse = np.sqrt(loss_fn(y_pred, y_test))
Epoch 93: Train RMSE 0.0385, Test RMSE 0.0676
Epoch 94: Train RMSE 0.0385, Test RMSE 0.0657
Epoch 95: Train RMSE 0.0389, Test RMSE 0.0665
Epoch 96: Train RMSE 0.0382, Test RMSE 0.0669
Epoch 97: Train RMSE 0.0387, Test RMSE 0.0692
Epoch 98: Train RMSE 0.0382, Test RMSE 0.0666
Epoch 99: Train RMSE 0.0384, Test RMSE 0.0667
Epoch 100: Train RMSE 0.0383, Test RMSE 0.0665
Epoch 101: Train RMSE 0.0381, Test RMSE 0.0677
Epoch 102: Train RMSE 0.0383, Test RMSE 0.0689
Epoch 103: Train RMSE 0.0383, Test RMSE 0.0686
Epoch 104: Train RMSE 0.0379, Test RMSE 0.0685
Epoch 105: Train RMSE 0.0384, Test RMSE 0.0701
Epoch 106: Train RMSE 0.0388, Test RMSE 0.0668
Epoch 107: Train RMSE 0.0382, Test RMSE 0.0678
Epoch 108: Train RMSE 0.0378, Test RMSE 0.0671
Epoch 109: Train RMSE 0.0378, Test RMSE 0.0675
Epoch 110: Train RMSE 0.0380, Test RMSE 0.0680
Epoch 111: Train RMSE 0.0386, Test RMSE 0.0684
Epoch 112: Train RMSE 0.0379, Test RMSE 0.0668
Epoch 113: Train RMSE 0.0380, Test RMSE 0.0668
Epoch 114: Train RMSE 0.0381, Test RMSE 0.0681
Epoch 115: Train RMSE 0.0380, Test RMSE 0.0688
Epoch 116: Train RMSE 0.0375, Test RMSE 0.0680
Epoch 117: Train RMSE 0.0376, Test RMSE 0.0668
Epoch 118: Train RMSE 0.0377, Test RMSE 0.0686
Epoch 119: Train RMSE 0.0378, Test RMSE 0.0667
Epoch 120: Train RMSE 0.0371, Test RMSE 0.0681
Epoch 121: Train RMSE 0.0372, Test RMSE 0.0672
Epoch 122: Train RMSE 0.0376, Test RMSE 0.0690
Epoch 123: Train RMSE 0.0374, Test RMSE 0.0679
Epoch 124: Train RMSE 0.0373, Test RMSE 0.0681
Epoch 125: Train RMSE 0.0373, Test RMSE 0.0669
Epoch 126: Train RMSE 0.0371, Test RMSE 0.0687
Epoch 127: Train RMSE 0.0371, Test RMSE 0.0677
Epoch 128: Train RMSE 0.0371, Test RMSE 0.0669
Epoch 129: Train RMSE 0.0370, Test RMSE 0.0682
Epoch 130: Train RMSE 0.0369, Test RMSE 0.0682
Epoch 131: Train RMSE 0.0368, Test RMSE 0.0681
Epoch 132: Train RMSE 0.0394, Test RMSE 0.0692
Epoch 133: Train RMSE 0.0369, Test RMSE 0.0676
Epoch 134: Train RMSE 0.0371, Test RMSE 0.0685
Epoch 135: Train RMSE 0.0369, Test RMSE 0.0679
Epoch 136: Train RMSE 0.0369, Test RMSE 0.0674
Epoch 137: Train RMSE 0.0369, Test RMSE 0.0680
Epoch 138: Train RMSE 0.0369, Test RMSE 0.0670
Epoch 139: Train RMSE 0.0368, Test RMSE 0.0683
Epoch 140: Train RMSE 0.0369, Test RMSE 0.0684
Epoch 141: Train RMSE 0.0370, Test RMSE 0.0670
Epoch 142: Train RMSE 0.0367, Test RMSE 0.0690
Epoch 143: Train RMSE 0.0366, Test RMSE 0.0687
Epoch 144: Train RMSE 0.0454, Test RMSE 0.0688
Epoch 145: Train RMSE 0.0370, Test RMSE 0.0697
Epoch 146: Train RMSE 0.0373, Test RMSE 0.0698
Epoch 147: Train RMSE 0.0366, Test RMSE 0.0687
Epoch 148: Train RMSE 0.0368, Test RMSE 0.0664
Epoch 149: Train RMSE 0.0373, Test RMSE 0.0664
Epoch 150: Train RMSE 0.0363, Test RMSE 0.0675
Epoch 151: Train RMSE 0.0368, Test RMSE 0.0687
Epoch 152: Train RMSE 0.0367, Test RMSE 0.0682
Epoch 153: Train RMSE 0.0372, Test RMSE 0.0688
Epoch 154: Train RMSE 0.0364, Test RMSE 0.0683
Epoch 155: Train RMSE 0.0369, Test RMSE 0.0686
Epoch 156: Train RMSE 0.0369, Test RMSE 0.0684
Epoch 157: Train RMSE 0.0371, Test RMSE 0.0698
Epoch 158: Train RMSE 0.0370, Test RMSE 0.0685
Epoch 159: Train RMSE 0.0365, Test RMSE 0.0680
Epoch 160: Train RMSE 0.0364, Test RMSE 0.0689
Epoch 161: Train RMSE 0.0370, Test RMSE 0.0672
Epoch 162: Train RMSE 0.0365, Test RMSE 0.0696
Epoch 163: Train RMSE 0.0361, Test RMSE 0.0682
