nohup: ignoring input
/home/gsm0197/sralab_working/lstm_singleJoint/trial6/lstm.py:120: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_singleJoint/trial6/lstm.py:122: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  test_rmse = np.sqrt(loss_fn(y_pred, y_test))
Epoch 92: Train RMSE 0.0507, Test RMSE 0.0718
Epoch 93: Train RMSE 0.0497, Test RMSE 0.0703
Epoch 94: Train RMSE 0.0501, Test RMSE 0.0720
Epoch 95: Train RMSE 0.0496, Test RMSE 0.0710
Epoch 96: Train RMSE 0.0493, Test RMSE 0.0708
Epoch 97: Train RMSE 0.0497, Test RMSE 0.0716
Epoch 98: Train RMSE 0.0497, Test RMSE 0.0703
Epoch 99: Train RMSE 0.0497, Test RMSE 0.0712
Epoch 100: Train RMSE 0.0495, Test RMSE 0.0714
Epoch 101: Train RMSE 0.0495, Test RMSE 0.0718
Epoch 102: Train RMSE 0.0495, Test RMSE 0.0701
Epoch 103: Train RMSE 0.0495, Test RMSE 0.0706
Epoch 104: Train RMSE 0.0494, Test RMSE 0.0714
Epoch 105: Train RMSE 0.0497, Test RMSE 0.0713
Epoch 106: Train RMSE 0.0493, Test RMSE 0.0711
Epoch 107: Train RMSE 0.0492, Test RMSE 0.0715
Epoch 108: Train RMSE 0.0494, Test RMSE 0.0721
Epoch 109: Train RMSE 0.0494, Test RMSE 0.0718
Epoch 110: Train RMSE 0.0493, Test RMSE 0.0712
Epoch 111: Train RMSE 0.0498, Test RMSE 0.0717
Epoch 112: Train RMSE 0.0493, Test RMSE 0.0707
Epoch 113: Train RMSE 0.0494, Test RMSE 0.0710
Epoch 114: Train RMSE 0.0495, Test RMSE 0.0717
Epoch 115: Train RMSE 0.0492, Test RMSE 0.0710
Epoch 116: Train RMSE 0.0494, Test RMSE 0.0716
Epoch 117: Train RMSE 0.0493, Test RMSE 0.0702
Epoch 118: Train RMSE 0.0492, Test RMSE 0.0704
Epoch 119: Train RMSE 0.0492, Test RMSE 0.0710
Epoch 120: Train RMSE 0.0494, Test RMSE 0.0714
Epoch 121: Train RMSE 0.0492, Test RMSE 0.0712
Epoch 122: Train RMSE 0.0494, Test RMSE 0.0713
