nohup: ignoring input
/home/gsm0197/sralab_working/lstm_FullData/trial6/lstm.py:186: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_FullData/trial6/lstm.py:188: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  valid_rmse = np.sqrt(loss_fn(y_pred, y_valid))
torch.Size([999215, 50, 11]) torch.Size([999215, 50, 4])
torch.Size([285455, 50, 11]) torch.Size([285455, 50, 4])
Epoch 0: Train RMSE 0.1969, Validation RMSE 0.2050
Epoch 1: Train RMSE 0.1355, Validation RMSE 0.1437
Epoch 2: Train RMSE 0.1054, Validation RMSE 0.1154
Epoch 3: Train RMSE 0.0887, Validation RMSE 0.1001
Epoch 4: Train RMSE 0.0770, Validation RMSE 0.0897
Epoch 5: Train RMSE 0.0699, Validation RMSE 0.0835
Epoch 6: Train RMSE 0.0663, Validation RMSE 0.0807
Epoch 7: Train RMSE 0.0641, Validation RMSE 0.0784
Epoch 8: Train RMSE 0.0625, Validation RMSE 0.0773
Epoch 9: Train RMSE 0.0612, Validation RMSE 0.0761
Epoch 10: Train RMSE 0.0601, Validation RMSE 0.0747
Epoch 11: Train RMSE 0.0592, Validation RMSE 0.0739
Epoch 12: Train RMSE 0.0584, Validation RMSE 0.0732
Epoch 13: Train RMSE 0.0576, Validation RMSE 0.0726
Epoch 14: Train RMSE 0.0568, Validation RMSE 0.0721
Epoch 15: Train RMSE 0.0563, Validation RMSE 0.0713
Epoch 16: Train RMSE 0.0556, Validation RMSE 0.0709
Epoch 17: Train RMSE 0.0551, Validation RMSE 0.0705
Epoch 18: Train RMSE 0.0547, Validation RMSE 0.0703
Epoch 19: Train RMSE 0.0542, Validation RMSE 0.0697
Epoch 20: Train RMSE 0.0538, Validation RMSE 0.0696
Epoch 21: Train RMSE 0.0534, Validation RMSE 0.0691
Epoch 22: Train RMSE 0.0530, Validation RMSE 0.0688
Epoch 23: Train RMSE 0.0527, Validation RMSE 0.0684
Epoch 24: Train RMSE 0.0523, Validation RMSE 0.0682
Epoch 25: Train RMSE 0.0521, Validation RMSE 0.0680
Epoch 26: Train RMSE 0.0517, Validation RMSE 0.0676
Epoch 27: Train RMSE 0.0515, Validation RMSE 0.0675
Epoch 28: Train RMSE 0.0512, Validation RMSE 0.0673
Epoch 29: Train RMSE 0.0510, Validation RMSE 0.0664
Epoch 30: Train RMSE 0.0508, Validation RMSE 0.0666
Epoch 31: Train RMSE 0.0505, Validation RMSE 0.0663
Epoch 32: Train RMSE 0.0503, Validation RMSE 0.0660
Epoch 33: Train RMSE 0.0501, Validation RMSE 0.0663
Epoch 34: Train RMSE 0.0500, Validation RMSE 0.0660
Epoch 35: Train RMSE 0.0499, Validation RMSE 0.0655
Epoch 36: Train RMSE 0.0497, Validation RMSE 0.0654
Epoch 37: Train RMSE 0.0495, Validation RMSE 0.0654
Epoch 38: Train RMSE 0.0492, Validation RMSE 0.0650
Epoch 39: Train RMSE 0.0492, Validation RMSE 0.0649
Epoch 40: Train RMSE 0.0490, Validation RMSE 0.0650
Epoch 41: Train RMSE 0.0489, Validation RMSE 0.0648
Epoch 42: Train RMSE 0.0487, Validation RMSE 0.0646
Epoch 43: Train RMSE 0.0486, Validation RMSE 0.0646
Epoch 44: Train RMSE 0.0484, Validation RMSE 0.0642
Epoch 45: Train RMSE 0.0484, Validation RMSE 0.0641
Epoch 46: Train RMSE 0.0482, Validation RMSE 0.0643
Epoch 47: Train RMSE 0.0482, Validation RMSE 0.0640
Epoch 48: Train RMSE 0.0480, Validation RMSE 0.0639
Epoch 49: Train RMSE 0.0479, Validation RMSE 0.0639
Epoch 50: Train RMSE 0.0477, Validation RMSE 0.0637
Epoch 51: Train RMSE 0.0477, Validation RMSE 0.0640
Epoch 52: Train RMSE 0.0475, Validation RMSE 0.0637
Epoch 53: Train RMSE 0.0475, Validation RMSE 0.0637
Epoch 54: Train RMSE 0.0474, Validation RMSE 0.0636
Epoch 55: Train RMSE 0.0473, Validation RMSE 0.0634
Epoch 56: Train RMSE 0.0472, Validation RMSE 0.0631
Epoch 57: Train RMSE 0.0470, Validation RMSE 0.0632
Epoch 58: Train RMSE 0.0470, Validation RMSE 0.0634
Epoch 59: Train RMSE 0.0470, Validation RMSE 0.0630
Epoch 60: Train RMSE 0.0468, Validation RMSE 0.0630
Epoch 61: Train RMSE 0.0467, Validation RMSE 0.0632
Epoch 62: Train RMSE 0.0467, Validation RMSE 0.0631
Epoch 63: Train RMSE 0.0466, Validation RMSE 0.0627
Epoch 64: Train RMSE 0.0465, Validation RMSE 0.0628
Epoch 65: Train RMSE 0.0464, Validation RMSE 0.0629
Epoch 66: Train RMSE 0.0463, Validation RMSE 0.0627
Epoch 67: Train RMSE 0.0463, Validation RMSE 0.0628
Epoch 68: Train RMSE 0.0461, Validation RMSE 0.0625
Epoch 69: Train RMSE 0.0461, Validation RMSE 0.0629
Epoch 70: Train RMSE 0.0461, Validation RMSE 0.0627
Epoch 71: Train RMSE 0.0460, Validation RMSE 0.0625
Epoch 72: Train RMSE 0.0459, Validation RMSE 0.0627
Epoch 73: Train RMSE 0.0459, Validation RMSE 0.0624
Epoch 74: Train RMSE 0.0458, Validation RMSE 0.0625
Epoch 75: Train RMSE 0.0457, Validation RMSE 0.0624
Epoch 76: Train RMSE 0.0457, Validation RMSE 0.0621
Epoch 77: Train RMSE 0.0456, Validation RMSE 0.0621
Epoch 78: Train RMSE 0.0456, Validation RMSE 0.0623
Epoch 79: Train RMSE 0.0455, Validation RMSE 0.0622
Epoch 80: Train RMSE 0.0454, Validation RMSE 0.0621
Epoch 81: Train RMSE 0.0454, Validation RMSE 0.0620
Epoch 82: Train RMSE 0.0453, Validation RMSE 0.0622
Epoch 83: Train RMSE 0.0453, Validation RMSE 0.0619
Epoch 84: Train RMSE 0.0452, Validation RMSE 0.0620
Epoch 85: Train RMSE 0.0451, Validation RMSE 0.0621
Epoch 86: Train RMSE 0.0450, Validation RMSE 0.0620
Epoch 87: Train RMSE 0.0450, Validation RMSE 0.0620
Epoch 88: Train RMSE 0.0449, Validation RMSE 0.0619
Epoch 89: Train RMSE 0.0449, Validation RMSE 0.0619
Epoch 90: Train RMSE 0.0448, Validation RMSE 0.0619
Epoch 91: Train RMSE 0.0448, Validation RMSE 0.0620
Epoch 92: Train RMSE 0.0447, Validation RMSE 0.0621
Epoch 93: Train RMSE 0.0447, Validation RMSE 0.0617
Epoch 94: Train RMSE 0.0446, Validation RMSE 0.0617
Epoch 95: Train RMSE 0.0447, Validation RMSE 0.0618
Epoch 96: Train RMSE 0.0446, Validation RMSE 0.0616
Epoch 97: Train RMSE 0.0445, Validation RMSE 0.0620
Epoch 98: Train RMSE 0.0445, Validation RMSE 0.0617
Epoch 99: Train RMSE 0.0444, Validation RMSE 0.0617
Epoch 100: Train RMSE 0.0443, Validation RMSE 0.0615
Epoch 101: Train RMSE 0.0443, Validation RMSE 0.0618
Epoch 102: Train RMSE 0.0444, Validation RMSE 0.0616
Epoch 103: Train RMSE 0.0442, Validation RMSE 0.0616
Epoch 104: Train RMSE 0.0441, Validation RMSE 0.0616
Epoch 105: Train RMSE 0.0442, Validation RMSE 0.0618
Epoch 106: Train RMSE 0.0442, Validation RMSE 0.0616
Epoch 107: Train RMSE 0.0441, Validation RMSE 0.0617
Epoch 108: Train RMSE 0.0441, Validation RMSE 0.0615
Epoch 109: Train RMSE 0.0440, Validation RMSE 0.0618
Epoch 110: Train RMSE 0.0440, Validation RMSE 0.0613
Epoch 111: Train RMSE 0.0440, Validation RMSE 0.0614
Epoch 112: Train RMSE 0.0439, Validation RMSE 0.0615
Epoch 113: Train RMSE 0.0438, Validation RMSE 0.0617
Epoch 114: Train RMSE 0.0438, Validation RMSE 0.0616
Epoch 115: Train RMSE 0.0438, Validation RMSE 0.0611
Epoch 116: Train RMSE 0.0438, Validation RMSE 0.0614
Epoch 117: Train RMSE 0.0437, Validation RMSE 0.0615
Epoch 118: Train RMSE 0.0436, Validation RMSE 0.0614
Epoch 119: Train RMSE 0.0437, Validation RMSE 0.0613
Epoch 120: Train RMSE 0.0436, Validation RMSE 0.0615
Epoch 121: Train RMSE 0.0436, Validation RMSE 0.0615
Epoch 122: Train RMSE 0.0436, Validation RMSE 0.0614
Epoch 123: Train RMSE 0.0435, Validation RMSE 0.0614
Epoch 124: Train RMSE 0.0434, Validation RMSE 0.0613
Epoch 125: Train RMSE 0.0435, Validation RMSE 0.0612
Epoch 126: Train RMSE 0.0435, Validation RMSE 0.0611
Epoch 127: Train RMSE 0.0433, Validation RMSE 0.0615
Epoch 128: Train RMSE 0.0433, Validation RMSE 0.0613
Epoch 129: Train RMSE 0.0432, Validation RMSE 0.0613
Epoch 130: Train RMSE 0.0432, Validation RMSE 0.0614
Epoch 131: Train RMSE 0.0432, Validation RMSE 0.0612
Epoch 132: Train RMSE 0.0432, Validation RMSE 0.0614
Epoch 133: Train RMSE 0.0432, Validation RMSE 0.0614
Epoch 134: Train RMSE 0.0431, Validation RMSE 0.0613
Epoch 135: Train RMSE 0.0431, Validation RMSE 0.0613
Epoch 136: Train RMSE 0.0431, Validation RMSE 0.0613
Epoch 137: Train RMSE 0.0431, Validation RMSE 0.0614
Epoch 138: Train RMSE 0.0430, Validation RMSE 0.0614
Epoch 139: Train RMSE 0.0430, Validation RMSE 0.0610
Epoch 140: Train RMSE 0.0429, Validation RMSE 0.0612
Epoch 141: Train RMSE 0.0430, Validation RMSE 0.0613
Epoch 142: Train RMSE 0.0429, Validation RMSE 0.0612
Epoch 143: Train RMSE 0.0429, Validation RMSE 0.0613
Epoch 144: Train RMSE 0.0429, Validation RMSE 0.0612
Epoch 145: Train RMSE 0.0429, Validation RMSE 0.0613
Epoch 146: Train RMSE 0.0427, Validation RMSE 0.0613
Epoch 147: Train RMSE 0.0428, Validation RMSE 0.0611
Epoch 148: Train RMSE 0.0428, Validation RMSE 0.0611
Epoch 149: Train RMSE 0.0427, Validation RMSE 0.0608
Epoch 150: Train RMSE 0.0427, Validation RMSE 0.0611
Epoch 151: Train RMSE 0.0426, Validation RMSE 0.0612
Epoch 152: Train RMSE 0.0426, Validation RMSE 0.0612
Epoch 153: Train RMSE 0.0427, Validation RMSE 0.0610
Epoch 154: Train RMSE 0.0426, Validation RMSE 0.0612
Epoch 155: Train RMSE 0.0426, Validation RMSE 0.0612
Epoch 156: Train RMSE 0.0426, Validation RMSE 0.0611
Epoch 157: Train RMSE 0.0425, Validation RMSE 0.0612
Epoch 158: Train RMSE 0.0424, Validation RMSE 0.0609
Epoch 159: Train RMSE 0.0424, Validation RMSE 0.0609
Epoch 160: Train RMSE 0.0423, Validation RMSE 0.0611
Epoch 161: Train RMSE 0.0425, Validation RMSE 0.0612
Epoch 162: Train RMSE 0.0424, Validation RMSE 0.0611
Epoch 163: Train RMSE 0.0424, Validation RMSE 0.0612
Epoch 164: Train RMSE 0.0424, Validation RMSE 0.0613
Epoch 165: Train RMSE 0.0422, Validation RMSE 0.0609
Epoch 166: Train RMSE 0.0422, Validation RMSE 0.0610
Epoch 167: Train RMSE 0.0423, Validation RMSE 0.0611
Epoch 168: Train RMSE 0.0421, Validation RMSE 0.0611
Epoch 169: Train RMSE 0.0422, Validation RMSE 0.0610
Epoch 170: Train RMSE 0.0422, Validation RMSE 0.0613
Epoch 171: Train RMSE 0.0420, Validation RMSE 0.0610
Epoch 172: Train RMSE 0.0421, Validation RMSE 0.0611
Epoch 173: Train RMSE 0.0421, Validation RMSE 0.0614
Epoch 174: Train RMSE 0.0420, Validation RMSE 0.0612
Epoch 175: Train RMSE 0.0420, Validation RMSE 0.0607
Epoch 176: Train RMSE 0.0420, Validation RMSE 0.0610
Epoch 177: Train RMSE 0.0420, Validation RMSE 0.0610
Epoch 178: Train RMSE 0.0419, Validation RMSE 0.0613
Epoch 179: Train RMSE 0.0420, Validation RMSE 0.0611
Epoch 180: Train RMSE 0.0418, Validation RMSE 0.0609
Epoch 181: Train RMSE 0.0420, Validation RMSE 0.0610
Epoch 182: Train RMSE 0.0419, Validation RMSE 0.0612
Epoch 183: Train RMSE 0.0419, Validation RMSE 0.0611
Epoch 184: Train RMSE 0.0419, Validation RMSE 0.0609
Epoch 185: Train RMSE 0.0418, Validation RMSE 0.0611
Epoch 186: Train RMSE 0.0418, Validation RMSE 0.0609
Epoch 187: Train RMSE 0.0418, Validation RMSE 0.0609
Epoch 188: Train RMSE 0.0417, Validation RMSE 0.0609
Epoch 189: Train RMSE 0.0417, Validation RMSE 0.0612
Epoch 190: Train RMSE 0.0417, Validation RMSE 0.0610
Epoch 191: Train RMSE 0.0417, Validation RMSE 0.0611
Epoch 192: Train RMSE 0.0417, Validation RMSE 0.0612
Epoch 193: Train RMSE 0.0416, Validation RMSE 0.0607
Epoch 194: Train RMSE 0.0416, Validation RMSE 0.0607
Epoch 195: Train RMSE 0.0415, Validation RMSE 0.0610
Epoch 196: Train RMSE 0.0416, Validation RMSE 0.0609
Epoch 197: Train RMSE 0.0416, Validation RMSE 0.0609
Epoch 198: Train RMSE 0.0415, Validation RMSE 0.0610
Epoch 199: Train RMSE 0.0416, Validation RMSE 0.0607
