nohup: ignoring input
/home/gsm0197/sralab_working/lstm_4to1/trial1/lstm.py:120: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to1/trial1/lstm.py:122: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  test_rmse = np.sqrt(loss_fn(y_pred, y_test))
Epoch 93: Train RMSE 0.0354, Test RMSE 0.0544
Epoch 94: Train RMSE 0.0349, Test RMSE 0.0555
Epoch 95: Train RMSE 0.0360, Test RMSE 0.0550
Epoch 96: Train RMSE 0.0352, Test RMSE 0.0561
Epoch 97: Train RMSE 0.0349, Test RMSE 0.0556
Epoch 98: Train RMSE 0.0350, Test RMSE 0.0544
Epoch 99: Train RMSE 0.0351, Test RMSE 0.0565
Epoch 100: Train RMSE 0.0362, Test RMSE 0.0567
Epoch 101: Train RMSE 0.0351, Test RMSE 0.0560
Epoch 102: Train RMSE 0.0346, Test RMSE 0.0541
Epoch 103: Train RMSE 0.0347, Test RMSE 0.0554
Epoch 104: Train RMSE 0.0347, Test RMSE 0.0560
Epoch 105: Train RMSE 0.0348, Test RMSE 0.0559
Epoch 106: Train RMSE 0.0347, Test RMSE 0.0560
Epoch 107: Train RMSE 0.0368, Test RMSE 0.0535
Epoch 108: Train RMSE 0.0347, Test RMSE 0.0556
Epoch 109: Train RMSE 0.0354, Test RMSE 0.0582
Epoch 110: Train RMSE 0.0344, Test RMSE 0.0554
Epoch 111: Train RMSE 0.0346, Test RMSE 0.0558
Epoch 112: Train RMSE 0.0344, Test RMSE 0.0556
Epoch 113: Train RMSE 0.0344, Test RMSE 0.0559
Epoch 114: Train RMSE 0.0345, Test RMSE 0.0560
Epoch 115: Train RMSE 0.0345, Test RMSE 0.0553
Epoch 116: Train RMSE 0.0341, Test RMSE 0.0558
Epoch 117: Train RMSE 0.0345, Test RMSE 0.0556
Epoch 118: Train RMSE 0.0343, Test RMSE 0.0562
Epoch 119: Train RMSE 0.0342, Test RMSE 0.0566
Epoch 120: Train RMSE 0.0339, Test RMSE 0.0552
Epoch 121: Train RMSE 0.0343, Test RMSE 0.0561
Epoch 122: Train RMSE 0.0347, Test RMSE 0.0543
Epoch 123: Train RMSE 0.0340, Test RMSE 0.0556
Epoch 124: Train RMSE 0.0339, Test RMSE 0.0552
Epoch 125: Train RMSE 0.0339, Test RMSE 0.0550
Epoch 126: Train RMSE 0.0341, Test RMSE 0.0559
Epoch 127: Train RMSE 0.0341, Test RMSE 0.0555
Epoch 128: Train RMSE 0.0339, Test RMSE 0.0549
Epoch 129: Train RMSE 0.0342, Test RMSE 0.0557
Epoch 130: Train RMSE 0.0339, Test RMSE 0.0542
Epoch 131: Train RMSE 0.0342, Test RMSE 0.0558
