nohup: ignoring input
/home/gsm0197/sralab_working/venv/lib/python3.12/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.2 and num_layers=1
  warnings.warn(
/home/gsm0197/sralab_working/lstm_FullData/trial4/lstm.py:186: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_FullData/trial4/lstm.py:188: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  valid_rmse = np.sqrt(loss_fn(y_pred, y_valid))
Epoch 86: Train RMSE 0.0477, Validation RMSE 0.0650
Epoch 87: Train RMSE 0.0477, Validation RMSE 0.0649
Epoch 88: Train RMSE 0.0476, Validation RMSE 0.0646
Epoch 89: Train RMSE 0.0476, Validation RMSE 0.0648
Epoch 90: Train RMSE 0.0476, Validation RMSE 0.0650
Epoch 91: Train RMSE 0.0475, Validation RMSE 0.0649
Epoch 92: Train RMSE 0.0475, Validation RMSE 0.0649
Epoch 93: Train RMSE 0.0474, Validation RMSE 0.0649
Epoch 94: Train RMSE 0.0474, Validation RMSE 0.0649
Epoch 95: Train RMSE 0.0474, Validation RMSE 0.0651
Epoch 96: Train RMSE 0.0473, Validation RMSE 0.0649
Epoch 97: Train RMSE 0.0473, Validation RMSE 0.0650
Epoch 98: Train RMSE 0.0473, Validation RMSE 0.0646
Epoch 99: Train RMSE 0.0473, Validation RMSE 0.0647
Epoch 100: Train RMSE 0.0472, Validation RMSE 0.0646
Epoch 101: Train RMSE 0.0472, Validation RMSE 0.0649
Epoch 102: Train RMSE 0.0471, Validation RMSE 0.0649
Epoch 103: Train RMSE 0.0471, Validation RMSE 0.0647
Epoch 104: Train RMSE 0.0471, Validation RMSE 0.0647
Epoch 105: Train RMSE 0.0471, Validation RMSE 0.0648
Epoch 106: Train RMSE 0.0470, Validation RMSE 0.0649
Epoch 107: Train RMSE 0.0470, Validation RMSE 0.0647
Epoch 108: Train RMSE 0.0470, Validation RMSE 0.0646
Epoch 109: Train RMSE 0.0469, Validation RMSE 0.0645
Epoch 110: Train RMSE 0.0470, Validation RMSE 0.0644
Epoch 111: Train RMSE 0.0469, Validation RMSE 0.0648
Epoch 112: Train RMSE 0.0469, Validation RMSE 0.0646
Epoch 113: Train RMSE 0.0469, Validation RMSE 0.0648
Epoch 114: Train RMSE 0.0468, Validation RMSE 0.0645
Epoch 115: Train RMSE 0.0468, Validation RMSE 0.0647
Epoch 116: Train RMSE 0.0468, Validation RMSE 0.0649
Epoch 117: Train RMSE 0.0467, Validation RMSE 0.0647
