nohup: ignoring input
/home/gsm0197/sralab_working/lstm_4to4_BigData/trial1/lstm.py:150: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  train_rmse = np.sqrt(loss_fn(y_pred, y_train))
/home/gsm0197/sralab_working/lstm_4to4_BigData/trial1/lstm.py:152: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  valid_rmse = np.sqrt(loss_fn(y_pred, y_valid))
Epoch 92: Train RMSE 0.0428, valid RMSE 0.1666
Epoch 93: Train RMSE 0.0427, valid RMSE 0.1631
Epoch 94: Train RMSE 0.0428, valid RMSE 0.1638
Epoch 95: Train RMSE 0.0429, valid RMSE 0.1645
Epoch 96: Train RMSE 0.0431, valid RMSE 0.1645
Epoch 97: Train RMSE 0.0427, valid RMSE 0.1625
Epoch 98: Train RMSE 0.0426, valid RMSE 0.1652
Epoch 99: Train RMSE 0.0431, valid RMSE 0.1652
Epoch 100: Train RMSE 0.0425, valid RMSE 0.1648
Epoch 101: Train RMSE 0.0425, valid RMSE 0.1657
Epoch 102: Train RMSE 0.0426, valid RMSE 0.1657
Epoch 103: Train RMSE 0.0430, valid RMSE 0.1637
Epoch 104: Train RMSE 0.0427, valid RMSE 0.1625
Epoch 105: Train RMSE 0.0426, valid RMSE 0.1643
Epoch 106: Train RMSE 0.0429, valid RMSE 0.1679
Epoch 107: Train RMSE 0.0439, valid RMSE 0.1626
Epoch 108: Train RMSE 0.0425, valid RMSE 0.1636
Epoch 109: Train RMSE 0.0426, valid RMSE 0.1646
Epoch 110: Train RMSE 0.0427, valid RMSE 0.1646
Epoch 111: Train RMSE 0.0426, valid RMSE 0.1634
Epoch 112: Train RMSE 0.0427, valid RMSE 0.1642
Epoch 113: Train RMSE 0.0425, valid RMSE 0.1641
Epoch 114: Train RMSE 0.0427, valid RMSE 0.1639
Epoch 115: Train RMSE 0.0428, valid RMSE 0.1646
Epoch 116: Train RMSE 0.0426, valid RMSE 0.1662
Epoch 117: Train RMSE 0.0422, valid RMSE 0.1641
Epoch 118: Train RMSE 0.0427, valid RMSE 0.1654
Epoch 119: Train RMSE 0.0428, valid RMSE 0.1636
Epoch 120: Train RMSE 0.0424, valid RMSE 0.1640
Epoch 121: Train RMSE 0.0426, valid RMSE 0.1630
Epoch 122: Train RMSE 0.0429, valid RMSE 0.1657
Epoch 123: Train RMSE 0.0426, valid RMSE 0.1619
Epoch 124: Train RMSE 0.0424, valid RMSE 0.1638
Epoch 125: Train RMSE 0.0423, valid RMSE 0.1636
Epoch 126: Train RMSE 0.0472, valid RMSE 0.1637
Epoch 127: Train RMSE 0.0432, valid RMSE 0.1627
Epoch 128: Train RMSE 0.0425, valid RMSE 0.1628
Epoch 129: Train RMSE 0.0424, valid RMSE 0.1633
Epoch 130: Train RMSE 0.0429, valid RMSE 0.1642
Epoch 131: Train RMSE 0.0423, valid RMSE 0.1649
Epoch 132: Train RMSE 0.0424, valid RMSE 0.1623
Epoch 133: Train RMSE 0.0423, valid RMSE 0.1641
Epoch 134: Train RMSE 0.0423, valid RMSE 0.1631
Epoch 135: Train RMSE 0.0424, valid RMSE 0.1642
Epoch 136: Train RMSE 0.0423, valid RMSE 0.1648
Epoch 137: Train RMSE 0.0425, valid RMSE 0.1660
Epoch 138: Train RMSE 0.0499, valid RMSE 0.1628
Epoch 139: Train RMSE 0.0445, valid RMSE 0.1652
Epoch 140: Train RMSE 0.0423, valid RMSE 0.1631
Epoch 141: Train RMSE 0.0426, valid RMSE 0.1646
Epoch 142: Train RMSE 0.0422, valid RMSE 0.1643
Epoch 143: Train RMSE 0.0423, valid RMSE 0.1632
Epoch 144: Train RMSE 0.0420, valid RMSE 0.1636
Epoch 145: Train RMSE 0.0425, valid RMSE 0.1633
Epoch 146: Train RMSE 0.0422, valid RMSE 0.1626
Epoch 147: Train RMSE 0.0421, valid RMSE 0.1646
Epoch 148: Train RMSE 0.1150, valid RMSE 0.2114
Epoch 149: Train RMSE 0.1278, valid RMSE 0.2072
Epoch 150: Train RMSE 0.1598, valid RMSE 0.2206
Epoch 151: Train RMSE 0.1382, valid RMSE 0.2173
Epoch 152: Train RMSE 0.0879, valid RMSE 0.1880
Epoch 153: Train RMSE 0.0700, valid RMSE 0.1651
Epoch 154: Train RMSE 0.0533, valid RMSE 0.1689
Epoch 155: Train RMSE 0.0496, valid RMSE 0.1598
Epoch 156: Train RMSE 0.0471, valid RMSE 0.1629
Epoch 157: Train RMSE 0.0459, valid RMSE 0.1587
Epoch 158: Train RMSE 0.0454, valid RMSE 0.1581
Epoch 159: Train RMSE 0.0450, valid RMSE 0.1587
Epoch 160: Train RMSE 0.0446, valid RMSE 0.1587
Epoch 161: Train RMSE 0.0444, valid RMSE 0.1603
Epoch 162: Train RMSE 0.0442, valid RMSE 0.1582
Epoch 163: Train RMSE 0.0439, valid RMSE 0.1594
Epoch 164: Train RMSE 0.0437, valid RMSE 0.1606
Epoch 165: Train RMSE 0.0436, valid RMSE 0.1584
Epoch 166: Train RMSE 0.0434, valid RMSE 0.1599
Epoch 167: Train RMSE 0.0435, valid RMSE 0.1584
Epoch 168: Train RMSE 0.0433, valid RMSE 0.1600
Epoch 169: Train RMSE 0.0432, valid RMSE 0.1591
Epoch 170: Train RMSE 0.0448, valid RMSE 0.1568
Epoch 171: Train RMSE 0.0431, valid RMSE 0.1590
Epoch 172: Train RMSE 0.0428, valid RMSE 0.1609
Epoch 173: Train RMSE 0.0429, valid RMSE 0.1593
Epoch 174: Train RMSE 0.0431, valid RMSE 0.1589
Epoch 175: Train RMSE 0.0429, valid RMSE 0.1598
Epoch 176: Train RMSE 0.0428, valid RMSE 0.1622
Epoch 177: Train RMSE 0.0427, valid RMSE 0.1594
Epoch 178: Train RMSE 0.0428, valid RMSE 0.1601
Epoch 179: Train RMSE 0.0427, valid RMSE 0.1613
Epoch 180: Train RMSE 0.0426, valid RMSE 0.1615
Epoch 181: Train RMSE 0.0429, valid RMSE 0.1608
Epoch 182: Train RMSE 0.0426, valid RMSE 0.1600
Epoch 183: Train RMSE 0.0428, valid RMSE 0.1595
Epoch 184: Train RMSE 0.0426, valid RMSE 0.1632
Epoch 185: Train RMSE 0.0426, valid RMSE 0.1611
Epoch 186: Train RMSE 0.0423, valid RMSE 0.1618
Epoch 187: Train RMSE 0.0426, valid RMSE 0.1604
Epoch 188: Train RMSE 0.0424, valid RMSE 0.1639
Epoch 189: Train RMSE 0.0431, valid RMSE 0.1624
Epoch 190: Train RMSE 0.0423, valid RMSE 0.1635
Epoch 191: Train RMSE 0.0424, valid RMSE 0.1624
Epoch 192: Train RMSE 0.0421, valid RMSE 0.1631
Epoch 193: Train RMSE 0.0421, valid RMSE 0.1619
Epoch 194: Train RMSE 0.0421, valid RMSE 0.1638
Epoch 195: Train RMSE 0.0429, valid RMSE 0.1622
Epoch 196: Train RMSE 0.0424, valid RMSE 0.1628
Epoch 197: Train RMSE 0.0427, valid RMSE 0.1637
Epoch 198: Train RMSE 0.0422, valid RMSE 0.1619
Epoch 199: Train RMSE 0.0424, valid RMSE 0.1640
Traceback (most recent call last):
  File "/home/gsm0197/sralab_working/lstm_4to4_BigData/trial1/lstm.py", line 195, in <module>
    valid_pred[lookback:valid_size] = valid_predictions
    ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^
ValueError: could not broadcast input array from shape (624092,) into shape (156023,)
